"person","name","birth","birthplace","book"
"http://dbpedia.org/resource/Ovid","Ovid","-043-03-20","http://dbpedia.org/resource/Roman_Republic","http://dbpedia.org/resource/Ars_Amatoria"
"http://dbpedia.org/resource/Ovid","Ovid","-043-03-20","http://dbpedia.org/resource/Italy_(Ancient_Rome)","http://dbpedia.org/resource/Ars_Amatoria"
"http://dbpedia.org/resource/Ovid","Ovid","-043-03-20","http://dbpedia.org/resource/Sulmona","http://dbpedia.org/resource/Ars_Amatoria"
"http://dbpedia.org/resource/Horace","Horace","-065-12-08","http://dbpedia.org/resource/Roman_Republic","http://dbpedia.org/resource/Hints_from_Hesiod"
"http://dbpedia.org/resource/Horace","Horace","-065-12-08","http://dbpedia.org/resource/Venosa","http://dbpedia.org/resource/Hints_from_Hesiod"
"http://dbpedia.org/resource/Horace","Horace","-065-12-08","http://dbpedia.org/resource/Italy_(Roman_Empire)","http://dbpedia.org/resource/Hints_from_Hesiod"
"http://dbpedia.org/resource/Muhammad_al-Bukhari","Muḥammad ibn Ismā‘īl al-Bukhārī","0810-07-21","http://dbpedia.org/resource/Bukhara","http://dbpedia.org/resource/Al-Adab_al-Mufrad"
"http://dbpedia.org/resource/Muhammad_al-Bukhari","Muḥammad ibn Ismā‘īl al-Bukhārī","0810-07-21","http://dbpedia.org/resource/Abbasid_Caliphate","http://dbpedia.org/resource/Al-Adab_al-Mufrad"
"http://dbpedia.org/resource/Muhammad_al-Bukhari","Muḥammad ibn Ismā‘īl al-Bukhārī","0810-07-21","http://dbpedia.org/resource/Bukhara","http://dbpedia.org/resource/The_Great_History"
"http://dbpedia.org/resource/Muhammad_al-Bukhari","Muḥammad ibn Ismā‘īl al-Bukhārī","0810-07-21","http://dbpedia.org/resource/Abbasid_Caliphate","http://dbpedia.org/resource/The_Great_History"
"http://dbpedia.org/resource/Al-Juwayni","Imam al-Haramayn Dhia' ul-Din al-Juwayni","1028-02-17","http://dbpedia.org/resource/Persia","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Al-Juwayni","Imam al-Haramayn Dhia' ul-Din al-Juwayni","1028-02-17","http://dbpedia.org/resource/Greater_Khorasan","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Al-Juwayni","Imam al-Haramayn Dhia' ul-Din al-Juwayni","1028-02-17","http://dbpedia.org/resource/Nishapur","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Al-Juwayni","Imam al-Haramayn Dhia' ul-Din al-Juwayni","1028-02-17","http://dbpedia.org/resource/Iran","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Al-Juwayni","Imam al-Haramayn Dhia' ul-Din al-Juwayni","1028-02-17","http://dbpedia.org/resource/Jowayin_County","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Al-Juwayni","Imam al-Haramayn Dhia' ul-Din al-Juwayni","1028-02-17","http://dbpedia.org/resource/Razavi_Khorasan_Province","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Al-Juwayni","امام الحرمین ضیاءُ الدین الجُوَینی","1028-02-17","http://dbpedia.org/resource/Persia","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Al-Juwayni","امام الحرمین ضیاءُ الدین الجُوَینی","1028-02-17","http://dbpedia.org/resource/Greater_Khorasan","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Al-Juwayni","امام الحرمین ضیاءُ الدین الجُوَینی","1028-02-17","http://dbpedia.org/resource/Nishapur","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Al-Juwayni","امام الحرمین ضیاءُ الدین الجُوَینی","1028-02-17","http://dbpedia.org/resource/Iran","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Al-Juwayni","امام الحرمین ضیاءُ الدین الجُوَینی","1028-02-17","http://dbpedia.org/resource/Jowayin_County","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Al-Juwayni","امام الحرمین ضیاءُ الدین الجُوَینی","1028-02-17","http://dbpedia.org/resource/Razavi_Khorasan_Province","http://dbpedia.org/resource/A_Guide_to_Conclusive_Proofs_for_the_Principles_of_Belief"
"http://dbpedia.org/resource/Giovanni_Boccaccio","Giovanni Boccaccio","1313-06-16","http://dbpedia.org/resource/Republic_of_Florence","http://dbpedia.org/resource/The_Decameron"
"http://dbpedia.org/resource/Giovanni_Boccaccio","Giovanni Boccaccio","1313-06-16","http://dbpedia.org/resource/Certaldo","http://dbpedia.org/resource/The_Decameron"
"http://dbpedia.org/resource/Ibn_Hajar_al-Asqalani","Ibn Ḥajar al-‘Asqalānī","1372-02-18","http://dbpedia.org/resource/Cairo","http://dbpedia.org/resource/Lisan_al-Mizan"
"http://dbpedia.org/resource/Ibn_Hajar_al-Asqalani","Ibn Ḥajar al-‘Asqalānī","1372-02-18","http://dbpedia.org/resource/Mamluk_Sultanate_(Cairo)","http://dbpedia.org/resource/Lisan_al-Mizan"
"http://dbpedia.org/resource/Ibn_Hajar_al-Asqalani","Ibn Ḥajar al-‘Asqalānī","1372-02-18","http://dbpedia.org/resource/Cairo","http://dbpedia.org/resource/Bulugh_al-Maram"
"http://dbpedia.org/resource/Ibn_Hajar_al-Asqalani","Ibn Ḥajar al-‘Asqalānī","1372-02-18","http://dbpedia.org/resource/Mamluk_Sultanate_(Cairo)","http://dbpedia.org/resource/Bulugh_al-Maram"
"http://dbpedia.org/resource/Marko_Marulić","Marko Marulić","1450-08-18","http://dbpedia.org/resource/Republic_of_Venice","http://dbpedia.org/resource/Judita"
"http://dbpedia.org/resource/Marko_Marulić","Marko Marulić","1450-08-18","http://dbpedia.org/resource/Croatia","http://dbpedia.org/resource/Judita"
