"person","name","birthplace","work","birth"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Denmark","http://dbpedia.org/resource/Frank_Lebby_Stanton","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Copenhagen","http://dbpedia.org/resource/Frank_Lebby_Stanton","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Denmark","http://dbpedia.org/resource/Antonio_Diego_Voci","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Copenhagen","http://dbpedia.org/resource/Antonio_Diego_Voci","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Denmark","http://dbpedia.org/resource/Lorin_Morgan-Richards","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Copenhagen","http://dbpedia.org/resource/Lorin_Morgan-Richards","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Denmark","http://dbpedia.org/resource/William_Buelow_Gould","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Copenhagen","http://dbpedia.org/resource/William_Buelow_Gould","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Denmark","http://dbpedia.org/resource/Tarik_O'Regan","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Copenhagen","http://dbpedia.org/resource/Tarik_O'Regan","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Denmark","http://dbpedia.org/resource/Ted_Noten","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Copenhagen","http://dbpedia.org/resource/Ted_Noten","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Denmark","http://dbpedia.org/resource/Kay_Sage","0175-03-01"
"http://dbpedia.org/resource/Herman_Vedel","Herman Vedel","http://dbpedia.org/resource/Copenhagen","http://dbpedia.org/resource/Kay_Sage","0175-03-01"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Delhi_Sultanate","http://dbpedia.org/resource/Frank_Lebby_Stanton","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Patiyali","http://dbpedia.org/resource/Frank_Lebby_Stanton","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Uttar_Pradesh","http://dbpedia.org/resource/Frank_Lebby_Stanton","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Frank_Lebby_Stanton","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Delhi_Sultanate","http://dbpedia.org/resource/Antonio_Diego_Voci","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Patiyali","http://dbpedia.org/resource/Antonio_Diego_Voci","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Uttar_Pradesh","http://dbpedia.org/resource/Antonio_Diego_Voci","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Antonio_Diego_Voci","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Delhi_Sultanate","http://dbpedia.org/resource/Lorin_Morgan-Richards","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Patiyali","http://dbpedia.org/resource/Lorin_Morgan-Richards","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Uttar_Pradesh","http://dbpedia.org/resource/Lorin_Morgan-Richards","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Lorin_Morgan-Richards","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Delhi_Sultanate","http://dbpedia.org/resource/William_Buelow_Gould","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Patiyali","http://dbpedia.org/resource/William_Buelow_Gould","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/Uttar_Pradesh","http://dbpedia.org/resource/William_Buelow_Gould","1253-05-19"
"http://dbpedia.org/resource/Amir_Khusrau","Amir Khusrau","http://dbpedia.org/resource/India","http://dbpedia.org/resource/William_Buelow_Gould","1253-05-19"
